Id,ValorVencido,Sexo,EstadoCivil,DataNascimento,ValorPago
0,"267,34",F,CASADO,1961-06-27 00:00:00,"109,93"
1,"351,74",F,CASADO,1989-07-18 00:00:00,"142,19"
2,"79,94",F,CASADO,1989-01-25 00:00:00,"53,99"
3,"217,91",F,SOLTEIRO,1975-12-06 00:00:00,"200,01"
4,"441,19",F,CASADO,1987-11-23 00:00:00,"489,06"
5,"116,58",M,CASADO,1988-04-17 00:00:00,"74,02"
6,"820,74",F,CASADO,1947-01-24 00:00:00,"192,49"
7,"246,08",F,CASADO,1990-06-10 00:00:00,"249,23"
8,"141,83",F,Outros,1990-11-26 00:00:00,"142,9"
9,"423,57",F,SOLTEIRO,1973-02-24 00:00:00,200
10,"1.209,93",F,Outros,1982-02-05 00:00:00,"1.210,34"
11,"104,05",M,CASADO,1988-10-06 00:00:00,"77,68"
12,"83,46",F,CASADO,1989-06-28 00:00:00,"84,14"
13,"135,52",M,SOLTEIRO,1955-12-09 00:00:00,"137,18"
14,"735,6",M,Outros,1961-02-20 00:00:00,358
15,"1.210,37",F,CASADO,1991-07-10 00:00:00,"93,08"
16,"315,1",F,CASADO,1991-04-04 00:00:00,"157,23"
17,"166,35",F,CASADO,1988-10-19 00:00:00,"166,94"
18,"180,46",F,SOLTEIRO,1969-09-07 00:00:00,"186,08"
19,"581,2",M,Outros,1980-10-22 00:00:00,"296,67"
20,"1.018,42",M,Outros,1990-07-31 00:00:00,"178,78"
21,"193,31",M,CASADO,1985-12-15 00:00:00,"87,09"
22,"909,81",F,Outros,1963-04-08 00:00:00,"319,56"
23,"292,63",F,CASADO,1954-09-06 00:00:00,"92,8"
24,"293,97",F,SOLTEIRO,1957-06-26 00:00:00,"293,97"
25,"804,3",F,SOLTEIRO,1974-05-24 00:00:00,"304,1"
26,"77,9",F,SOLTEIRO,1949-04-21 00:00:00,"79,4"
27,"99,79",F,SOLTEIRO,1963-08-22 00:00:00,100
28,"180,28",M,CASADO,1980-11-30 00:00:00,100
29,"171,65",F,CASADO,1961-11-05 00:00:00,"173,39"
30,"637,85",M,CASADO,1991-11-13 00:00:00,"127,93"
31,"1.168,65",F,Outros,1984-06-15 00:00:00,300
32,"439,9",F,CASADO,1992-01-16 00:00:00,"233,91"
33,"115,8",M,CASADO,1988-01-11 00:00:00,"115,81"
34,"933,22",M,CASADO,1987-08-01 00:00:00,"53,23"
35,"1.067,23",M,CASADO,1954-01-14 00:00:00,"368,58"
36,"147,4",M,SOLTEIRO,1976-03-21 00:00:00,"46,74"
37,"252,15",F,CASADO,1984-08-16 00:00:00,"161,65"
38,"346,9",M,Outros,1972-08-23 00:00:00,"179,74"
39,"3.401,18",M,Outros,1989-06-06 00:00:00,"3.405,77"
40,"478,82",F,CASADO,1989-01-17 00:00:00,"422,38"
41,"145,36",M,CASADO,1991-10-24 00:00:00,"147,7"
42,"291,34",M,CASADO,1992-09-16 00:00:00,"151,96"
43,"141,33",F,Outros,1991-01-04 00:00:00,"143,4"
44,"1.350,44",F,Outros,1977-04-15 00:00:00,"133,19"
45,"258,49",F,CASADO,1991-09-21 00:00:00,"129,77"
46,"2.308,09",M,Outros,1940-11-28 00:00:00,"695,97"
47,"1.222,96",F,Outros,1950-07-15 00:00:00,490
48,"681,34",M,SOLTEIRO,1946-05-17 00:00:00,"137,25"
49,"1.526,45",M,CASADO,1987-10-16 00:00:00,"123,61"
50,"1.526,45",M,CASADO,1987-10-16 00:00:00,"123,61"
51,"688,31",F,CASADO,1991-04-18 00:00:00,"245,1"
52,"1.650,77",F,SOLTEIRO,1981-06-17 00:00:00,140
53,"2.193,2",F,Outros,1970-01-08 00:00:00,250
54,"819,63",M,Outros,1971-08-10 00:00:00,"370,57"
55,272,F,SOLTEIRO,1992-09-13 00:00:00,"109,32"
56,"313,5",F,Outros,1988-01-02 00:00:00,"326,26"
57,"587,36",F,CASADO,1993-02-10 00:00:00,50
58,"1.672,95",F,CASADO,1987-08-06 00:00:00,"208,65"
59,"77,98",M,CASADO,1984-06-04 00:00:00,50
60,"2.553,03",F,SOLTEIRO,1969-04-13 00:00:00,"176,54"
61,"733,98",M,Outros,1977-10-21 00:00:00,"764,94"
62,"616,01",F,Outros,1982-03-11 00:00:00,"224,75"
63,"319,96",M,CASADO,1980-10-24 00:00:00,"326,03"
64,"190,32",M,SOLTEIRO,1975-09-16 00:00:00,"191,04"
65,"663,22",F,Outros,1993-01-15 00:00:00,"673,68"
66,"535,9",F,CASADO,1990-06-23 00:00:00,"107,79"
67,"542,29",F,Outros,1965-08-15 00:00:00,162
68,"259,89",F,CASADO,1991-01-27 00:00:00,"263,37"
69,"210,92",M,CASADO,1993-01-23 00:00:00,"213,85"
70,"335,8",M,CASADO,1992-01-15 00:00:00,"340,01"
71,"87,29",M,Outros,1947-04-20 00:00:00,"51,23"
72,"910,32",F,CASADO,1991-09-27 00:00:00,"322,04"
73,"1.070,94",F,SOLTEIRO,1965-02-25 00:00:00,"380,93"
74,"459,15",M,SOLTEIRO,1971-12-06 00:00:00,"350,28"
75,"609,36",F,CASADO,1993-10-08 00:00:00,"363,15"
76,"443,88",M,Outros,1989-06-18 00:00:00,"449,43"
77,"71,26",F,CASADO,1989-06-14 00:00:00,"62,15"
78,"435,47",M,CASADO,1993-05-30 00:00:00,"253,55"
79,"94,38",F,SOLTEIRO,1962-03-15 00:00:00,"95,6"
80,"508,14",F,Outros,1953-10-14 00:00:00,"80,98"
81,"243,56",F,CASADO,1987-02-23 00:00:00,150
82,"231,16",F,CASADO,1988-05-09 00:00:00,"232,81"
83,"239,68",F,SOLTEIRO,1986-07-06 00:00:00,322
84,"484,96",F,CASADO,1992-12-24 00:00:00,50
85,"125,5",F,Outros,1972-08-23 00:00:00,"127,08"
