,Embarked,cidade_de_embarque
0,S,Southampton
1,C,Cherbourg
2,S,Southampton
3,S,Southampton
4,S,Southampton
5,Q,Queenstown
6,S,Southampton
7,S,Southampton
8,S,Southampton
9,C,Cherbourg
10,S,Southampton
11,S,Southampton
12,S,Southampton
13,S,Southampton
14,S,Southampton
15,S,Southampton
16,Q,Queenstown
17,S,Southampton
18,S,Southampton
19,C,Cherbourg
20,S,Southampton
21,S,Southampton
22,Q,Queenstown
23,S,Southampton
24,S,Southampton
25,S,Southampton
26,C,Cherbourg
27,S,Southampton
28,Q,Queenstown
29,S,Southampton
30,C,Cherbourg
31,C,Cherbourg
32,Q,Queenstown
33,S,Southampton
34,C,Cherbourg
35,S,Southampton
36,C,Cherbourg
37,S,Southampton
38,S,Southampton
39,C,Cherbourg
40,S,Southampton
41,S,Southampton
42,C,Cherbourg
43,C,Cherbourg
44,Q,Queenstown
45,S,Southampton
46,Q,Queenstown
47,Q,Queenstown
48,C,Cherbourg
49,S,Southampton
50,S,Southampton
51,S,Southampton
52,C,Cherbourg
53,S,Southampton
54,C,Cherbourg
55,S,Southampton
56,S,Southampton
57,C,Cherbourg
58,S,Southampton
59,S,Southampton
60,C,Cherbourg
61,,
62,S,Southampton
63,S,Southampton
64,C,Cherbourg
65,C,Cherbourg
66,S,Southampton
67,S,Southampton
68,S,Southampton
69,S,Southampton
70,S,Southampton
71,S,Southampton
72,S,Southampton
73,C,Cherbourg
74,S,Southampton
75,S,Southampton
76,S,Southampton
77,S,Southampton
78,S,Southampton
79,S,Southampton
80,S,Southampton
81,S,Southampton
82,Q,Queenstown
83,S,Southampton
84,S,Southampton
85,S,Southampton
86,S,Southampton
87,S,Southampton
88,S,Southampton
89,S,Southampton
90,S,Southampton
91,S,Southampton
92,S,Southampton
93,S,Southampton
94,S,Southampton
95,S,Southampton
96,C,Cherbourg
97,C,Cherbourg
98,S,Southampton
99,S,Southampton
100,S,Southampton
101,S,Southampton
102,S,Southampton
103,S,Southampton
104,S,Southampton
105,S,Southampton
106,S,Southampton
107,S,Southampton
108,S,Southampton
109,Q,Queenstown
110,S,Southampton
111,C,Cherbourg
112,S,Southampton
113,S,Southampton
114,C,Cherbourg
115,S,Southampton
116,Q,Queenstown
117,S,Southampton
118,C,Cherbourg
119,S,Southampton
120,S,Southampton
121,S,Southampton
122,C,Cherbourg
123,S,Southampton
124,S,Southampton
125,C,Cherbourg
126,Q,Queenstown
127,S,Southampton
128,C,Cherbourg
129,S,Southampton
130,C,Cherbourg
131,S,Southampton
132,S,Southampton
133,S,Southampton
134,S,Southampton
135,C,Cherbourg
136,S,Southampton
137,S,Southampton
138,S,Southampton
139,C,Cherbourg
140,C,Cherbourg
141,S,Southampton
142,S,Southampton
143,Q,Queenstown
144,S,Southampton
145,S,Southampton
146,S,Southampton
147,S,Southampton
148,S,Southampton
149,S,Southampton
150,S,Southampton
151,S,Southampton
152,S,Southampton
153,S,Southampton
154,S,Southampton
155,C,Cherbourg
156,Q,Queenstown
157,S,Southampton
158,S,Southampton
159,S,Southampton
160,S,Southampton
161,S,Southampton
162,S,Southampton
163,S,Southampton
164,S,Southampton
165,S,Southampton
166,S,Southampton
167,S,Southampton
168,S,Southampton
169,S,Southampton
170,S,Southampton
171,Q,Queenstown
172,S,Southampton
173,S,Southampton
174,C,Cherbourg
175,S,Southampton
176,S,Southampton
177,C,Cherbourg
178,S,Southampton
179,S,Southampton
180,S,Southampton
